id,category,name,tagline,description,original_price,special_offer,product_image_file
1000,outdoor,Elysian Voyager,The Ultimate 2-Person Travel Tent for the Modern Adventurer,"Meet the Elysian Voyager, the pinnacle of outdoor adventure gear designed to blend the perfect mix of comfort, durability, and portability. Our two-person travel tent is engineered with a keen eye for details, keeping every unique need of a travel enthusiast in mind.
Superior Comfort: Inside the Elysian Voyager, you will find ample space to comfortably accommodate two adults. The tent’s unique 5.5ft height clearance allows most individuals to stand upright, eliminating the typical discomfort associated with conventional travel tents. A special dual layer ventilated design ensures an optimum airflow, reducing condensation and maintaining a comfortable temperature in all weather conditions.
Extreme Durability: The tent is constructed with a high-density ripstop nylon fabric, supported by ultra-light, corrosion-resistant aluminum poles. The 4000mm waterproof PU-coated rainfly and 5000mm floor material ensure it withstands the harshest weather conditions, from heavy rainfall to snow.
Lightweight and Portable: Despite its robust construction, the Elysian Voyager is surprisingly light, weighing just 4.8 lbs. It fits snugly into a compact carry bag, making it your perfect companion on the go. It’s easy-to-assemble design means you can set up camp in a matter of minutes, anywhere, anytime.
Smart Features: The Elysian Voyager is replete with user-friendly features. Two D-shaped doors offer easy access, and dual vestibules provide plenty of space for gear storage. The tent also comes with integrated mesh pockets to keep your belongings organized. Its reflective guylines and wind-resistant stakes add to safety during nighttime.
Sustainable: As a brand, we're committed to minimizing our carbon footprint. The Elysian Voyager is crafted from eco-friendly materials and shipped in recycled packaging.
Warranty: We believe in the quality of our product. The Elysian Voyager comes with a full 5-year warranty to ensure your peace of mind.
The Elysian Voyager is more than a travel tent; it's a commitment to comfortable and sustainable outdoor adventure. Experience the blend of design innovation and functionality that sets it apart. Wherever you go, let the Elysian Voyager be your home away from home.",850.0,800.0,elysian-voyager.png
1001,outdoor,Terra Roamer,The All-in-One Travel Backpack for Uncharted Journeys,"Introducing the Terra Roamer, the embodiment of freedom for the modern nomad. This feature-packed travel backpack offers the perfect blend of versatility, robustness, and comfort, making it an essential travel companion.
Ample Storage: With a spacious 60L capacity, the Terra Roamer is designed to accommodate everything you need for your adventures. Its thoughtful multi-compartment design includes a padded laptop sleeve, quick-access front pockets, a hidden security pouch, and a spacious main compartment.
Exceptional Comfort: The Terra Roamer's ergonomic design includes a breathable, padded back panel, and adjustable shoulder, waist, and chest straps. This allows for optimal weight distribution, ensuring a comfortable journey, no matter the distance.
Built to Last: Made from high-quality ripstop nylon, the Terra Roamer is robust and resistant to wear and tear. It features a waterproof coating and a complimentary rain cover to protect your essentials from unpredictable weather conditions.
Travel-Ready: Weighing just 4.5 lbs, the Terra Roamer offers the advantage of being lightweight and compact. Its carry-on-friendly dimensions make it a hassle-free companion on any airline.
Organizational Features: The Terra Roamer includes an array of pockets and compartments designed to keep your belongings organized and accessible. An external USB charging port with built-in cable provides convenient charging for your devices.
Sustainability-Focused: In line with our commitment to the environment, the Terra Roamer is crafted from recycled materials and uses minimal plastic in its packaging.
Lifetime Warranty: Your Terra Roamer comes with a lifetime warranty, a testament to our faith in its quality and durability.
The Terra Roamer is more than just a travel backpack. It's a passport to newfound freedom, an invitation to explore the world with ease and confidence. Whether you're planning a weekend getaway or a round-the-world trip, let the Terra Roamer accompany you on your journey to discover the unknown.",220.0,200.0,terra-roamer.png
1002,outdoor,Cardinal Pathfinder,The Ultimate Travel Compass for Modern Explorers,"Discover the Cardinal Pathfinder, a revolutionary travel compass designed for reliability and precision. It integrates advanced technology with a user-friendly interface, ensuring that you always find your way, whether you're hiking, camping, or just exploring the great outdoors.
Precise Direction: The Cardinal Pathfinder guarantees high accuracy readings with its liquid-filled capsule, delivering stable and reliable directional measurements. It features a declination adjustment system, enabling precise navigation even in magnetic regions.
Multipurpose Display: The dual-scale baseplate incorporates both metric and imperial measurements for map reading ease, while the mirror sighting feature allows for accurate direction observations. A built-in clinometer helps measure slope angles for avalanche hazard assessment and more.
Robust & Durable: Constructed with rugged, high-impact plastic, the Cardinal Pathfinder is designed to withstand even the toughest outdoor conditions. It is waterproof and shock-resistant, ensuring long-lasting durability.
Compact & Portable: Weighing just 3.2 ounces and featuring a foldable design, the Cardinal Pathfinder fits easily into any pocket or backpack without adding noticeable weight. Its detachable lanyard makes it convenient to carry around your neck or attach to your gear.
Illuminated for Night Use: The Cardinal Pathfinder’s luminous bezel and direction of travel arrow allow for navigation in low-light conditions or at night, meaning your adventures don’t have to stop when the sun goes down.
Eco-Friendly: In our commitment to sustainability, the Cardinal Pathfinder is made from recycled materials and comes packaged in 100% biodegradable materials.
Warranty: The Cardinal Pathfinder comes with a comprehensive 2-year warranty, assuring you of our confidence in its quality and durability.
The Cardinal Pathfinder is more than a compass - it's your trusted partner in exploration, a tool to unlock new adventures with certainty and security. Never lose your way again, with the Cardinal Pathfinder at your side.",55.0,49.99,cardinal-pathfinder.png
1003,outdoor,Slumber Drifter,The Ultimate Lightweight Travel Sleeping Bag for Every Adventure,"Introducing the Slumber Drifter, a game-changer in travel comfort designed for the wanderer in all of us. This innovative travel sleeping bag delivers unrivaled comfort, optimal thermal efficiency, and exceptional durability, ensuring restful nights no matter where you find yourself.
Optimal Comfort: The Slumber Drifter is crafted with a soft, breathable, hypoallergenic lining that mimics the luxury of your bed at home. A spacious foot box provides extra room to move, accommodating all sleep positions comfortably.
Thermal Efficiency: With its advanced, synthetic hollow fiber fill, the Slumber Drifter ensures excellent insulation down to 20°F (-6°C), perfect for 3-season camping. The mummy-style design and adjustable drawstring hood help retain body heat, ensuring you stay warm and cozy in various weather conditions.
Lightweight and Compact: Despite its generous size (80"" x 33""), the Slumber Drifter compresses down to a compact 9"" x 14"", making it an ultra-portable travel companion. Its feather-light weight of 3.5 lbs makes it easy to carry on any expedition.
Durable and Easy Care: Made with a ripstop, water-resistant outer shell, the Slumber Drifter withstands rough outdoor conditions and resists moisture to keep you dry. Its synthetic fill is easy to clean and quick-drying, making maintenance a breeze.
Versatile Design: The Slumber Drifter features a two-way anti-snag zipper that allows ventilation from the footbox if desired. It can also be fully unzipped and opened flat to serve as a blanket or connected to another Slumber Drifter for a two-person sleeping bag.
Sustainability: The Slumber Drifter is made from recycled materials and packaged in biodegradable packaging, reflecting our commitment to sustainability.
Warranty: The Slumber Drifter comes with a 5-year warranty, guaranteeing its quality and longevity.
The Slumber Drifter is more than a sleeping bag; it's your mobile comfort zone. So pack your bags, embrace the great outdoors, and rest assured knowing that a good night's sleep is within your reach, wherever your journey takes you.",90.0,80.0,slumber-drifter.png
1004,outdoor,Blaze Adventurer,The Future of Outdoor Cooking - The Portable Travel Stove,"Presenting the Blaze Adventurer, a cutting-edge portable travel stove that takes your outdoor culinary experiences to the next level. Designed for the modern wanderer, the Blaze Adventurer combines innovative technology, exceptional performance, and rugged durability to meet every outdoor cooking need.
Powerful and Efficient: The Blaze Adventurer delivers an impressive 10,000 BTU heat output, ensuring fast cooking times even at high altitudes or in cold weather. Its advanced fuel efficiency technology helps conserve your gas canisters, making your fuel go further.
Compact and Lightweight: Weighing just 1.1 lbs, and folding down to fit in the palm of your hand, the Blaze Adventurer offers high power in a compact package. Its slim carry case makes it easy to pack in any backpack.
Stable and Versatile: The Blaze Adventurer features a wide pot support system that can accommodate a variety of cookware sizes, from small camping pots to large frying pans. Its low center of gravity and sturdy fold-out legs provide excellent stability on different terrains.
Wind-Resistant: Designed with an integrated windscreen, the Blaze Adventurer offers superior performance even in windy conditions. It ensures a consistent flame for efficient cooking.
Easy to Use: The Blaze Adventurer's reliable piezo ignition system ensures hassle-free lighting every time, while the flame control valve allows precise heat adjustment, from a gentle simmer to a roaring boil.
Sustainable: As part of our commitment to sustainability, the Blaze Adventurer is constructed from recycled metals and comes in 100% recyclable packaging.
Warranty: We stand behind the quality of our product. The Blaze Adventurer comes with a full 3-year warranty, ensuring your complete satisfaction.
The Blaze Adventurer is more than just a travel stove - it's a commitment to gourmet meals wherever your adventures take you. Experience the joy of cooking on the move, and let the Blaze Adventurer make your journey taste even better.",75.0,67.99,blaze-adventurer.png
1005,outdoor,BiteShield Pro,Embrace the Outdoors Safely - Your Trustworthy Travel Mosquito Spray,"Introducing BiteShield Pro, a game-changing travel mosquito spray that combines powerful protection with nature-friendly ingredients. Tailored for outdoor enthusiasts, BiteShield Pro is your reliable companion in every adventure, keeping you safe from pesky mosquitoes and other biting insects.
Effective Protection: BiteShield Pro is formulated with a potent blend of natural repellents, including Eucalyptus, Citronella, and Lemongrass oils, offering up to 6 hours of consistent protection against mosquitoes, ticks, gnats, and other biting insects.
DEET-Free: Committed to your safety and well-being, BiteShield Pro is 100% DEET-free. It provides powerful protection without the harsh chemicals often found in conventional insect repellents.
Non-Greasy & Pleasant Scent: Unlike traditional insect repellents, BiteShield Pro is non-greasy and quick-drying. The natural ingredients give it a refreshing, mild scent, making it enjoyable to use.
Travel-Friendly Size: Packaged in a compact 3.4 fl oz (100 ml) bottle, BiteShield Pro complies with TSA's liquid restrictions, making it easy to carry on any flight. Its lockable spray nozzle prevents leaks in your luggage.
Safe for All Ages: BiteShield Pro's all-natural formula is gentle on skin and safe for all ages, including children and seniors. It's also suitable for individuals with sensitive skin.
Sustainable & Cruelty-Free: BiteShield Pro is proudly made from sustainably sourced ingredients and packaged in recycled materials. We do not test our products on animals, reflecting our commitment to ethical and eco-friendly practices.
Warranty: To ensure your complete satisfaction, BiteShield Pro comes with a full 1-year warranty. If you're not fully satisfied, we offer a no-questions-asked refund.
BiteShield Pro is more than just a travel mosquito spray; it's your trusted ally in enjoying the outdoors without the nuisance of biting insects. Take back your adventures with BiteShield Pro, and experience the joy of the outdoors, bite-free.",9.5,7.99,biteshield-pro.png
1006,outdoor,Feast Frontier,Elevate Your Outdoor Dining - The Ultimate Travel Dish Set for the Adventurous Gourmet,"Discover Feast Frontier, the go-to travel dish set for outdoor dining aficionados. Merging practicality with style, this comprehensive set provides all you need for a gourmet meal, no matter where your travels take you.
Complete Dining Experience: The Feast Frontier set includes four 10"" dinner plates, four 8"" dessert plates, four 20oz bowls, and four 12oz mugs, accommodating a full-course meal for up to four people.
Durable & Lightweight: Made from robust, BPA-free melamine, the Feast Frontier is designed to withstand the rigors of outdoor use. Despite its strength, the set remains lightweight, with a total weight of only 3.5 lbs.
Compact & Portable: Every piece in the Feast Frontier set is designed for easy stacking, forming a compact bundle that fits comfortably into the included drawstring bag. The bag features a convenient carry handle for easy transportation.
Stylish Design: Available in several vibrant designs, the Feast Frontier brings a dash of style to your camp dining experience. Choose a design that matches your personality and stand out at every campsite.
Easy to Clean: The smooth, non-stick surface of the Feast Frontier set ensures quick and easy clean-up. All items are dishwasher safe on the top rack, providing added convenience when you return from your adventures.
Eco-Conscious: Committed to environmental sustainability, the Feast Frontier set is crafted from 100% recycled materials and comes in 100% biodegradable packaging.
Warranty: We stand behind the quality and durability of our products. The Feast Frontier comes with a 2-year warranty, protecting your investment for many adventures to come.
Feast Frontier is more than just a travel dish set; it's an essential part of your outdoor culinary adventure. Enjoy your meals as much as your journeys with Feast Frontier, and add a touch of home comfort to your open-air dining.",85.0,75.0,feast-frontier.png
1007,outdoor,Summit Stride,Experience Unmatched Comfort on the Trails - The Ultimate Women's Hiking Boots,"Introducing Summit Stride, the pinnacle of performance, comfort, and style in women's hiking footwear. Designed for the intrepid female explorer, these boots offer outstanding support and protection, letting you conquer any trail with confidence.
Premium Comfort: The Summit Stride boots feature a contoured, cushioned insole that adapts to your foot's shape over time for a custom fit. The padded collar and tongue provide additional comfort, reducing pressure points during long hikes.
Superior Support: These boots come with a durable midsole for excellent shock absorption and a reinforced heel counter for optimal ankle stability. The full-length shank ensures outstanding arch support, reducing foot fatigue on challenging terrains.
Durable and Robust: Made with high-quality, full-grain leather and featuring a sturdy rubber outsole, the Summit Stride offers exceptional durability and resistance to wear and tear. The reinforced toe cap protects against sharp rocks and other trail hazards.
Weatherproof: The Summit Stride boots incorporate waterproof membrane technology, ensuring dry feet in wet conditions. The breathable lining wicks away moisture, keeping your feet comfortable and fresh all day.
Superior Traction: The rubber outsole features multi-directional lugs for exceptional traction on various surfaces. Whether you're hiking on muddy trails or rocky paths, the Summit Stride ensures a reliable grip.
Stylish Design: Available in a range of earth-toned colors and featuring elegant stitching details, the Summit Stride boots marry functionality with style. They will complement your outdoor gear and stand out on the trails.
Eco-Friendly: In line with our commitment to sustainability, the Summit Stride boots are crafted from ethically sourced materials and packaged in recycled cardboard boxes.
Warranty: Your satisfaction is our priority. The Summit Stride boots come with a 2-year warranty, guaranteeing their quality and durability.
The Summit Stride boots are more than just footwear - they're your reliable partner for all your hiking adventures. Step into comfort, embrace the journey, and leave no trail unexplored with Summit Stride.",130.0,120.0,summit-stride.png
1008,outdoor,Rugged Ranger,Blaze the Trail in Style - The Perfect Hiking Boots for Adventurous Men,"Introducing Rugged Ranger, the ultimate blend of rugged durability, supportive comfort, and masculine style in men's hiking footwear. Specifically designed for the fearless adventurer, these boots deliver unmatched performance on any terrain.
Superior Comfort: The Rugged Ranger boots come with a cushioned, ergonomically designed insole that cradles your foot for maximum comfort. The padded collar and gusseted tongue eliminate pressure points, ensuring comfort during long treks.
Unmatched Support: These boots feature a sturdy midsole for outstanding shock absorption and a reinforced ankle collar for additional stability. The robust shank provides exceptional arch support, reducing foot fatigue on lengthy hikes.
Durable Construction: Crafted with high-grade, water-resistant leather and boasting a tough rubber outsole, the Rugged Ranger guarantees excellent durability and wear resistance. A protective rubber toe cap safeguards against trail hazards.
Weatherproof Technology: Equipped with a waterproof yet breathable membrane, the Rugged Ranger boots keep your feet dry and comfortable in all conditions. The moisture-wicking lining ensures optimal freshness during strenuous hikes.
Exceptional Traction: The rubber outsole boasts deep, multi-directional lugs, offering reliable traction on varied surfaces. Whether you're traversing muddy trails or rocky paths, Rugged Ranger ensures a secure grip.
Masculine Design: Available in various earth-toned colors with rugged detailing, the Rugged Ranger boots add a dash of masculine style to your hiking gear. These boots are designed to look great while standing up to the elements.
Sustainability: As part of our commitment to the environment, Rugged Ranger boots are made from ethically sourced materials and come in 100% recycled packaging.
Warranty: We are confident in our product quality. The Rugged Ranger boots come with a 2-year warranty, guaranteeing their durability and performance.
Rugged Ranger boots are more than just hiking footwear - they're your dependable companion for every outdoor adventure. Gear up, hit the trails, and conquer the wilderness with Rugged Ranger.",145.0,135.0,rugged-ranger.png
1100,tennis,Match Master,Unleash Power and Precision with the Ultimate Tennis Racquet for Men,"Step onto the court with the Match Master, a tennis racquet designed for men who refuse to compromise on performance. Engineered for power and precision, the Match Master elevates your game, giving you the edge over your opponents.
Superior Construction: Crafted with a high-modulus graphite frame, the Match Master offers exceptional strength and stability without adding extra weight. Its lightweight design (10.6 oz strung) ensures easy maneuverability, enabling swift and fluid swings.
Optimal Power and Control: The Match Master features a 100 sq. in. head size, providing a generous sweet spot that results in maximum power and control. Its 16x19 string pattern optimizes spin potential, offering the perfect blend of power, control, and spin.
Enhanced Comfort: The Match Master's ergonomic grip, made from high-absorption PU material, minimizes vibration and enhances comfort during high-impact hits. Its handle length is tailored to adult men, ensuring a comfortable and secure grip.
Cutting-Edge Technology: Equipped with our patented Flex Control System, the Match Master adapts to your swing speed, optimizing power transfer and reducing the risk of injury. Its aerodynamic design minimizes air resistance, enabling faster, more powerful swings.
Stylish Design: The Match Master comes in a sleek black and silver design with an elegant matte finish, making you stand out on the court. Its premium aesthetic complements its superior performance.
Versatility: Whether you're an aggressive baseline player or prefer a serve-and-volley style, the Match Master is designed to adapt to your game. Its balance point, swing weight, and stiffness are tailored for versatility, accommodating a wide range of playing styles.
Durability: The Match Master is constructed with UV-resistant materials, prolonging its lifespan and maintaining its aesthetic appeal even after prolonged exposure to sunlight.
Warranty: The Match Master comes with a 1-year warranty, reflecting our confidence in its durability and performance.
The Match Master tennis racquet isn't just equipment; it's an investment in your game. Step onto the court with the confidence that comes from wielding the perfect blend of power, control, and comfort.",200.0,180.0,match-master.png
1101,tennis,Court Queen,Dominate the Game with the Premier Tennis Racquet for Women,"Step onto the court with confidence and style with the Court Queen, a tennis racquet tailored for the dynamic woman player. Engineered for precision and power, the Court Queen enhances your natural talent, setting you up for victory.
Superior Construction: The Court Queen is crafted with a high-grade graphite frame, offering superior durability and stability without the burden of excess weight. Its lightweight design (9.7 oz strung) guarantees effortless maneuverability and swift swings.
Precision and Power: The Court Queen features a 102 sq. in. head size, yielding an expansive sweet spot for a consistent response. Its 16x19 open string pattern heightens spin potential, creating the perfect fusion of precision, power, and spin.
Comfort-Enhanced: With its cushioned, high-absorption PU grip, the Court Queen minimizes vibration, ensuring optimal comfort during intense hits. Its handle length is designed specifically for adult women, ensuring a comfortable and secure grip.
Innovative Technology: Equipped with our patented Flex Control System, the Court Queen adapts to your swing speed, optimizing power transfer while minimizing strain. Its aerodynamic design enhances swing speed by reducing air resistance.
Elegant Design: The Court Queen comes in a graceful lavender and silver design with a premium matte finish. Its stylish aesthetic is a perfect match for its top-tier performance, ensuring you stand out on the court.
Versatile Gameplay: Regardless of your play style, from aggressive baseline shots to subtle net volleys, the Court Queen is built to adapt. Its balance, swing weight, and flexibility are designed to cater to a wide range of playing styles.
Durable Composition: Constructed using UV-resistant materials, the Court Queen maintains its look and performance even after prolonged exposure to sunlight.
Warranty: We stand behind the quality of our products. The Court Queen comes with a 1-year warranty, underscoring our belief in its durability and top-tier performance.
The Court Queen tennis racquet is more than just a piece of equipment—it's an extension of your ambition, grace, and love for the game. Embrace the confidence that comes with the Court Queen, and reign supreme on the court.",190.0,170.0,court-queen.png
